"","wkkey","prodkey","choice","avaind","brand2","brand3","brand4","price"
"60",111,4,35,1,0,0,1,4
"61",112,1,11,1,0,0,0,5
"62",112,2,103,1,1,0,0,3
"63",112,3,386,1,0,1,0,2
"64",112,4,0,0,0,0,1,4
"65",113,1,62,1,0,0,0,4
"66",113,2,41,1,1,0,0,6
"67",113,3,0,0,0,1,0,5
"68",113,4,397,1,0,0,1,3
"69",114,1,12,1,0,0,0,4
"70",114,2,104,1,1,0,0,3
"71",114,3,0,0,0,1,0,5
"72",114,4,384,1,0,0,1,2
"73",115,1,24,1,0,0,0,3
"74",115,2,465,1,1,0,0,2
"75",115,3,11,1,0,1,0,5
"76",115,4,0,0,0,0,1,6
"77",116,1,461,1,0,0,0,2
"78",116,2,0,0,1,0,0,4
"79",116,3,26,1,0,1,0,5
"80",116,4,13,1,0,0,1,6
"81",117,1,449,1,0,0,0,2
"82",117,2,0,0,1,0,0,5
"83",117,3,11,1,0,1,0,6
"84",117,4,40,1,0,0,1,4
"85",118,1,0,0,0,0,0,6
"86",118,2,95,1,1,0,0,3
"87",118,3,391,1,0,1,0,2
"88",118,4,14,1,0,0,1,5
"89",119,1,14,1,0,0,0,5
"90",119,2,0,0,1,0,0,4
"91",119,3,80,1,0,1,0,3
"92",119,4,406,1,0,0,1,2
"97",120,1,374,1,0,0,0,2
"98",120,2,67,1,1,0,0,4
"99",120,3,0,0,0,1,0,6
"100",120,4,59,1,0,0,1,3
"101",121,1,46,1,0,0,0,4
"102",121,2,0,0,1,0,0,5
"103",121,3,25,1,0,1,0,6
"104",121,4,429,1,0,0,1,3
"105",122,1,414,1,0,0,0,2
"106",122,2,50,1,1,0,0,6
"107",122,3,36,1,0,1,0,4
"108",122,4,0,0,0,0,1,5
"109",123,1,392,1,0,0,0,2
"110",123,2,0,0,1,0,0,6
"111",123,3,44,1,0,1,0,4
"112",123,4,64,1,0,0,1,3
"113",124,1,54,1,0,0,0,3
"114",124,2,0,0,1,0,0,4
"115",124,3,14,1,0,1,0,6
"116",124,4,432,1,0,0,1,2
"117",125,1,53,1,0,0,0,4
"118",125,2,0,0,1,0,0,6
"119",125,3,424,1,0,1,0,3
"120",125,4,23,1,0,0,1,5
"121",126,1,33,1,0,0,0,4
"122",126,2,0,0,1,0,0,3
"123",126,3,466,1,0,1,0,2
"124",126,4,1,1,0,0,1,6
"125",127,1,395,1,0,0,0,2
"126",127,2,68,1,1,0,0,4
"127",127,3,0,0,0,1,0,6
"128",127,4,37,1,0,0,1,3
"129",128,1,422,1,0,0,0,3
"130",128,2,47,1,1,0,0,6
"131",128,3,31,1,0,1,0,5
"132",128,4,0,0,0,0,1,4
"133",129,1,398,1,0,0,0,2
"134",129,2,0,0,1,0,0,6
"135",129,3,84,1,0,1,0,3
"136",129,4,18,1,0,0,1,5
"141",130,1,7,1,0,0,0,6
"142",130,2,449,1,1,0,0,4
"143",130,3,44,1,0,1,0,5
"144",130,4,0,0,0,0,1,3
"145",131,1,410,1,0,0,0,2
"146",131,2,64,1,1,0,0,5
"147",131,3,0,0,0,1,0,6
"148",131,4,26,1,0,0,1,4
"149",132,1,437,1,0,0,0,2
"150",132,2,36,1,1,0,0,6
"151",132,3,27,1,0,1,0,5
"152",132,4,0,0,0,0,1,4
"153",133,1,0,0,0,0,0,2
"154",133,2,450,1,1,0,0,3
"155",133,3,16,1,0,1,0,5
"156",133,4,34,1,0,0,1,4
"157",134,1,9,1,0,0,0,6
"158",134,2,73,1,1,0,0,4
"159",134,3,418,1,0,1,0,2
"160",134,4,0,0,0,0,1,3
"161",135,1,16,1,0,0,0,5
"162",135,2,475,1,1,0,0,3
"163",135,3,0,0,0,1,0,4
"164",135,4,9,1,0,0,1,6
"165",136,1,5,1,0,0,0,6
"166",136,2,0,0,1,0,0,3
"167",136,3,464,1,0,1,0,2
"168",136,4,31,1,0,0,1,4
"169",137,1,0,0,0,0,0,3
"170",137,2,479,1,1,0,0,2
"171",137,3,10,1,0,1,0,5
"172",137,4,11,1,0,0,1,4
"173",138,1,9,1,0,0,0,5
"174",138,2,108,1,1,0,0,4
"175",138,3,0,0,0,1,0,2
"176",138,4,383,1,0,0,1,3
"177",139,1,8,1,0,0,0,5
"178",139,2,468,1,1,0,0,2
"179",139,3,24,1,0,1,0,3
"180",139,4,0,0,0,0,1,4
"185",140,1,0,0,0,0,0,4
"186",140,2,34,1,1,0,0,6
"187",140,3,75,1,0,1,0,3
"188",140,4,391,1,0,0,1,2
"189",141,1,44,1,0,0,0,4
"190",141,2,0,0,1,0,0,6
"191",141,3,433,1,0,1,0,3
"192",141,4,23,1,0,0,1,5
"193",142,1,0,0,0,0,0,6
"194",142,2,63,1,1,0,0,4
"195",142,3,60,1,0,1,0,3
"196",142,4,377,1,0,0,1,2
"197",143,1,18,1,0,0,0,4
"198",143,2,0,0,1,0,0,3
"199",143,3,39,1,0,1,0,5
"200",143,4,443,1,0,0,1,2
"201",144,1,0,0,0,0,0,6
"202",144,2,44,1,1,0,0,5
"203",144,3,64,1,0,1,0,3
"204",144,4,392,1,0,0,1,2
"205",145,1,0,0,0,0,0,4
"206",145,2,34,1,1,0,0,6
"207",145,3,454,1,0,1,0,2
"208",145,4,12,1,0,0,1,5
"209",146,1,0,0,0,0,0,5
"210",146,2,446,1,1,0,0,2
"211",146,3,43,1,0,1,0,3
"212",146,4,11,1,0,0,1,4
"213",147,1,396,1,0,0,0,3
"214",147,2,49,1,1,0,0,6
"215",147,3,0,0,0,1,0,2
"216",147,4,55,1,0,0,1,4
"217",148,1,360,1,0,0,0,2
"218",148,2,133,1,1,0,0,3
"219",148,3,7,1,0,1,0,6
"220",148,4,0,0,0,0,1,5
"221",149,1,8,1,0,0,0,4
"222",149,2,486,1,1,0,0,2
"223",149,3,0,0,0,1,0,5
"224",149,4,6,1,0,0,1,6
"229",150,1,417,1,0,0,0,2
"230",150,2,73,1,1,0,0,5
"231",150,3,0,0,0,1,0,4
"232",150,4,10,1,0,0,1,6
"233",151,1,49,1,0,0,0,4
"234",151,2,0,0,1,0,0,2
"235",151,3,23,1,0,1,0,6
"236",151,4,428,1,0,0,1,3
"237",152,1,11,1,0,0,0,5
"238",152,2,65,1,1,0,0,4
"239",152,3,424,1,0,1,0,2
"240",152,4,0,0,0,0,1,3
"241",153,1,19,1,0,0,0,6
"242",153,2,0,0,1,0,0,2
"243",153,3,41,1,0,1,0,5
"244",153,4,440,1,0,0,1,3
"245",154,1,18,1,0,0,0,6
"246",154,2,0,0,1,0,0,3
"247",154,3,79,1,0,1,0,5
"248",154,4,403,1,0,0,1,4
"249",155,1,0,0,0,0,0,3
"250",155,2,56,1,1,0,0,6
"251",155,3,64,1,0,1,0,5
"252",155,4,380,1,0,0,1,4
"253",156,1,358,1,0,0,0,2
"254",156,2,114,1,1,0,0,3
"255",156,3,28,1,0,1,0,4
"256",156,4,0,0,0,0,1,5
"257",157,1,21,1,0,0,0,4
"258",157,2,46,1,1,0,0,6
"259",157,3,0,0,0,1,0,5
"260",157,4,433,1,0,0,1,2
"261",158,1,0,0,0,0,0,3
"262",158,2,438,1,1,0,0,4
"263",158,3,47,1,0,1,0,5
"264",158,4,15,1,0,0,1,6
"265",159,1,380,1,0,0,0,3
"266",159,2,62,1,1,0,0,5
"267",159,3,58,1,0,1,0,4
"268",159,4,0,0,0,0,1,6
"273",160,1,7,1,0,0,0,5
"274",160,2,484,1,1,0,0,2
"275",160,3,9,1,0,1,0,6
"276",160,4,0,0,0,0,1,4
"277",161,1,368,1,0,0,0,2
"278",161,2,126,1,1,0,0,3
"279",161,3,0,0,0,1,0,5
"280",161,4,6,1,0,0,1,6
"281",162,1,6,1,0,0,0,6
"282",162,2,0,0,1,0,0,5
"283",162,3,446,1,0,1,0,2
"284",162,4,48,1,0,0,1,3
"285",163,1,358,1,0,0,0,3
"286",163,2,116,1,1,0,0,4
"287",163,3,26,1,0,1,0,5
"288",163,4,0,0,0,0,1,6
"289",164,1,0,0,0,0,0,4
"290",164,2,49,1,1,0,0,5
"291",164,3,416,1,0,1,0,2
"292",164,4,35,1,0,0,1,3
"293",165,1,0,0,0,0,0,5
"294",165,2,74,1,1,0,0,4
"295",165,3,52,1,0,1,0,3
"296",165,4,374,1,0,0,1,2
"297",166,1,392,1,0,0,0,2
"298",166,2,46,1,1,0,0,6
"299",166,3,0,0,0,1,0,4
"300",166,4,62,1,0,0,1,3
"301",167,1,36,1,0,0,0,4
"302",167,2,0,0,1,0,0,3
"303",167,3,27,1,0,1,0,6
"304",167,4,437,1,0,0,1,2
"305",168,1,15,1,0,0,0,6
"306",168,2,101,1,1,0,0,5
"307",168,3,0,0,0,1,0,3
"308",168,4,384,1,0,0,1,4
"309",169,1,0,0,0,0,0,5
"310",169,2,47,1,1,0,0,6
"311",169,3,68,1,0,1,0,4
"312",169,4,385,1,0,0,1,3
"317",170,1,26,1,0,0,0,4
"318",170,2,0,0,1,0,0,5
"319",170,3,16,1,0,1,0,6
"320",170,4,458,1,0,0,1,2
"321",171,1,393,1,0,0,0,3
"322",171,2,0,0,1,0,0,5
"323",171,3,30,1,0,1,0,6
"324",171,4,77,1,0,0,1,4
"325",172,1,44,1,0,0,0,3
"326",172,2,0,0,1,0,0,6
"327",172,3,19,1,0,1,0,5
"328",172,4,437,1,0,0,1,2
"329",173,1,0,0,0,0,0,5
"330",173,2,446,1,1,0,0,2
"331",173,3,51,1,0,1,0,3
"332",173,4,3,1,0,0,1,6
"333",174,1,10,1,0,0,0,6
"334",174,2,57,1,1,0,0,5
"335",174,3,433,1,0,1,0,2
"336",174,4,0,0,0,0,1,3
"337",175,1,444,1,0,0,0,2
"338",175,2,0,0,1,0,0,3
"339",175,3,23,1,0,1,0,5
"340",175,4,33,1,0,0,1,4
"341",176,1,11,1,0,0,0,6
"342",176,2,443,1,1,0,0,4
"343",176,3,46,1,0,1,0,5
"344",176,4,0,0,0,0,1,3
"345",177,1,435,1,0,0,0,3
"346",177,2,0,0,1,0,0,4
"347",177,3,33,1,0,1,0,6
"348",177,4,32,1,0,0,1,5
"349",178,1,4,1,0,0,0,6
"350",178,2,0,0,1,0,0,4
"351",178,3,74,1,0,1,0,3
"352",178,4,422,1,0,0,1,2
"353",179,1,6,1,0,0,0,5
"354",179,2,457,1,1,0,0,2
"355",179,3,0,0,0,1,0,6
"356",179,4,37,1,0,0,1,3
"361",180,1,383,1,0,0,0,3
